,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"mu[53, 2]",47.88,1.207,45.649,50.202,0.02,0.014,3847.0,1434.0,1.0
"mu[54, 0]",5.506,0.082,5.346,5.651,0.002,0.001,1818.0,1311.0,1.0
"mu[54, 1]",23.25,0.876,21.553,24.849,0.013,0.009,4698.0,1450.0,1.0
"mu[54, 2]",47.639,1.179,45.593,49.907,0.018,0.013,4361.0,1844.0,1.0
"mu[55, 0]",6.353,0.08,6.2,6.494,0.001,0.001,4985.0,1498.0,1.0
"mu[55, 1]",24.507,0.908,22.903,26.411,0.013,0.009,4673.0,1256.0,1.0
"mu[55, 2]",46.577,1.106,44.5,48.612,0.017,0.012,4151.0,1338.0,1.0
"mu[56, 0]",6.418,0.081,6.26,6.557,0.001,0.001,4627.0,1400.0,1.0
"mu[56, 1]",22.973,0.917,21.213,24.671,0.013,0.009,4814.0,1256.0,1.0
"mu[56, 2]",49.062,1.174,46.851,51.198,0.018,0.013,4142.0,1494.0,1.0
"mu[57, 0]",6.446,0.081,6.29,6.589,0.001,0.001,4736.0,1194.0,1.0
"mu[57, 1]",24.59,0.911,22.88,26.381,0.012,0.009,5318.0,1386.0,1.0
"mu[57, 2]",52.501,1.188,50.219,54.556,0.018,0.013,4235.0,1562.0,1.0
"mu[58, 0]",6.49,0.08,6.331,6.631,0.001,0.001,4683.0,1485.0,1.0
"mu[58, 1]",24.042,0.916,22.268,25.803,0.013,0.009,4851.0,1385.0,1.0
"mu[58, 2]",51.553,1.219,49.231,53.805,0.018,0.013,4396.0,1493.0,1.0
"mu[59, 0]",6.31,0.08,6.167,6.464,0.001,0.001,4351.0,1361.0,1.0
"mu[59, 1]",23.066,0.913,21.302,24.764,0.013,0.009,5254.0,1385.0,1.0
"mu[59, 2]",51.06,1.216,48.66,53.153,0.018,0.013,4671.0,1415.0,1.0
"mu[60, 0]",6.773,0.081,6.615,6.921,0.001,0.001,5536.0,1396.0,1.0
"mu[60, 1]",24.619,0.875,22.846,26.174,0.014,0.01,3732.0,1343.0,1.0
"mu[60, 2]",44.249,1.145,42.262,46.461,0.017,0.012,4383.0,1561.0,1.0
"mu[61, 0]",6.873,0.081,6.718,7.017,0.001,0.001,5429.0,1328.0,1.0
"mu[61, 1]",22.716,0.874,21.046,24.377,0.015,0.01,3559.0,1440.0,1.0
"mu[61, 2]",46.6,1.258,44.176,48.866,0.017,0.012,5307.0,1386.0,1.0
"mu[62, 0]",6.887,0.081,6.727,7.03,0.001,0.001,5337.0,1073.0,1.0
"mu[62, 1]",24.087,0.868,22.368,25.736,0.015,0.01,3544.0,1417.0,1.0
"mu[62, 2]",49.692,1.2,47.498,51.917,0.017,0.012,5093.0,1664.0,1.0
"mu[63, 0]",6.91,0.081,6.752,7.055,0.001,0.001,5275.0,1258.0,1.0
"mu[63, 1]",23.735,0.875,21.988,25.294,0.014,0.01,3888.0,1319.0,1.0
"mu[63, 2]",48.935,1.198,46.614,50.998,0.017,0.012,4788.0,1505.0,1.0
"mu[64, 0]",6.744,0.081,6.583,6.885,0.001,0.001,5252.0,1391.0,1.0
"mu[64, 1]",22.55,0.875,20.821,24.203,0.014,0.01,3828.0,1304.0,1.0
"mu[64, 2]",48.261,1.226,46.124,50.635,0.018,0.013,4532.0,1557.0,1.0
"mu[65, 0]",8.192,0.084,8.052,8.366,0.002,0.001,2831.0,1154.0,1.0
"mu[65, 1]",25.579,0.861,23.956,27.189,0.011,0.008,5737.0,1412.0,1.0
"mu[65, 2]",43.657,1.136,41.396,45.644,0.018,0.013,4137.0,1450.0,1.0
"mu[66, 0]",8.287,0.086,8.126,8.449,0.002,0.001,2296.0,1232.0,1.0
"mu[66, 1]",23.46,0.868,21.819,24.991,0.012,0.009,5238.0,1288.0,1.0
"mu[66, 2]",45.678,1.196,43.543,48.046,0.018,0.013,4215.0,1464.0,1.0
"mu[67, 0]",8.309,0.086,8.153,8.474,0.002,0.001,2598.0,1315.0,1.0
"mu[67, 1]",24.868,0.865,23.271,26.472,0.012,0.009,5193.0,1270.0,1.0
"mu[67, 2]",48.917,1.231,46.503,51.072,0.019,0.013,4315.0,1626.0,1.0
"mu[68, 0]",8.34,0.085,8.19,8.512,0.002,0.001,2483.0,1184.0,1.0
"mu[68, 1]",24.643,0.868,22.917,26.127,0.012,0.009,5198.0,1366.0,1.0
"mu[68, 2]",48.016,1.184,45.895,50.262,0.019,0.013,3981.0,1486.0,1.0
"mu[69, 0]",8.155,0.085,8.003,8.324,0.002,0.001,2375.0,1363.0,1.0
"mu[69, 1]",23.392,0.873,21.705,24.941,0.012,0.009,5212.0,1339.0,1.0
"mu[69, 2]",47.775,1.211,45.6,50.146,0.018,0.013,4322.0,1515.0,1.0
"mu[70, 0]",6.717,0.081,6.558,6.865,0.001,0.001,5744.0,1172.0,1.0
"mu[70, 1]",25.465,0.893,23.65,27.015,0.013,0.009,5038.0,1503.0,1.0
"mu[70, 2]",46.574,1.104,44.505,48.513,0.017,0.012,4352.0,1802.0,1.0
"mu[71, 0]",6.781,0.082,6.612,6.921,0.001,0.001,5761.0,1228.0,1.0
"mu[71, 1]",23.93,0.895,22.222,25.541,0.013,0.009,5067.0,1528.0,1.0
"mu[71, 2]",49.059,1.161,46.862,51.189,0.018,0.013,4158.0,1343.0,1.0
"mu[72, 0]",6.809,0.082,6.659,6.971,0.001,0.001,5882.0,1047.0,1.0
"mu[72, 1]",25.548,0.899,23.812,27.135,0.013,0.009,5110.0,1469.0,1.0
"mu[72, 2]",52.499,1.171,50.403,54.844,0.018,0.013,4391.0,1465.0,1.0
"mu[73, 0]",6.853,0.082,6.685,6.999,0.001,0.001,5984.0,1258.0,1.0
"mu[73, 1]",24.999,0.904,23.338,26.712,0.013,0.009,5032.0,1516.0,1.0
"mu[73, 2]",51.551,1.163,49.386,53.713,0.018,0.013,4216.0,1507.0,1.0
"mu[74, 0]",6.673,0.082,6.522,6.831,0.001,0.001,5640.0,1206.0,1.0
"mu[74, 1]",24.024,0.902,22.316,25.657,0.013,0.009,4964.0,1373.0,1.0
"mu[74, 2]",51.058,1.173,48.984,53.29,0.016,0.012,5129.0,1389.0,1.0
"mu[75, 0]",5.38,0.078,5.243,5.532,0.002,0.001,2585.0,1541.0,1.0
"mu[75, 1]",23.963,0.901,22.237,25.571,0.013,0.009,4668.0,1103.0,1.0
"mu[75, 2]",46.286,1.062,44.391,48.284,0.018,0.013,3632.0,1349.0,1.0
"mu[76, 0]",5.441,0.078,5.304,5.591,0.001,0.001,3175.0,1661.0,1.0
"mu[76, 1]",21.675,0.907,19.951,23.319,0.014,0.01,4368.0,1303.0,1.0
"mu[76, 2]",48.577,1.139,46.519,50.799,0.019,0.013,3791.0,1486.0,1.0
"mu[77, 0]",5.468,0.078,5.322,5.613,0.001,0.001,2899.0,1453.0,1.0
"mu[77, 1]",23.014,0.91,21.343,24.689,0.014,0.01,4407.0,1264.0,1.0
"mu[77, 2]",51.856,1.127,49.716,53.879,0.017,0.012,4095.0,1471.0,1.0
"mu[78, 0]",5.497,0.078,5.357,5.65,0.001,0.001,3090.0,1429.0,1.0
"mu[78, 1]",22.793,0.908,21.208,24.572,0.014,0.01,4514.0,1182.0,1.0
"mu[78, 2]",51.049,1.149,49.005,53.324,0.018,0.013,4215.0,1436.0,1.0
"mu[79, 0]",5.336,0.078,5.199,5.493,0.001,0.001,2856.0,1322.0,1.0
"mu[79, 1]",21.551,0.912,19.832,23.24,0.014,0.01,4190.0,1131.0,1.0
"mu[79, 2]",50.501,1.146,48.429,52.73,0.018,0.012,4270.0,1365.0,1.0
"mu[80, 0]",4.161,0.082,4.006,4.313,0.002,0.001,2071.0,1166.0,1.0
"mu[80, 1]",23.592,0.888,21.96,25.265,0.015,0.01,3620.0,1601.0,1.0
"mu[80, 2]",44.68,1.095,42.576,46.569,0.015,0.011,5181.0,1712.0,1.0
"mu[81, 0]",4.256,0.082,4.099,4.402,0.002,0.001,2276.0,1323.0,1.0
"mu[81, 1]",21.473,0.878,19.913,23.176,0.015,0.011,3402.0,1632.0,1.0
"mu[81, 2]",46.701,1.162,44.614,48.954,0.015,0.011,5703.0,1601.0,1.0
"mu[82, 0]",4.278,0.081,4.111,4.418,0.002,0.001,2224.0,1396.0,1.0
"mu[82, 1]",22.881,0.877,21.33,24.574,0.015,0.01,3544.0,1577.0,1.0
"mu[82, 2]",49.939,1.174,47.74,52.014,0.016,0.011,5417.0,1732.0,1.0
"mu[83, 0]",4.309,0.081,4.153,4.457,0.002,0.001,2249.0,1390.0,1.0
"mu[83, 1]",22.656,0.875,20.922,24.128,0.015,0.011,3489.0,1539.0,1.0
"mu[83, 2]",49.039,1.168,46.834,51.15,0.016,0.011,5245.0,1752.0,1.0
"mu[84, 0]",4.124,0.081,3.966,4.267,0.002,0.001,2071.0,1351.0,1.0
"mu[84, 1]",21.405,0.883,19.681,22.983,0.015,0.011,3557.0,1573.0,1.0
"mu[84, 2]",48.798,1.168,46.726,51.037,0.015,0.011,5925.0,1818.0,1.0
"mu[85, 0]",5.79,0.082,5.636,5.936,0.001,0.001,6168.0,1463.0,1.0
"mu[85, 1]",24.605,0.928,22.839,26.411,0.012,0.009,5577.0,1170.0,1.0
"mu[85, 2]",45.991,1.087,43.927,48.026,0.019,0.013,3497.0,1396.0,1.0
"mu[86, 0]",5.851,0.083,5.703,6.011,0.001,0.001,6357.0,1379.0,1.0
"mu[86, 1]",22.317,0.918,20.696,24.219,0.012,0.009,5844.0,1183.0,1.0
"mu[86, 2]",48.282,1.172,46.032,50.388,0.017,0.012,4692.0,1310.0,1.0
"mu[87, 0]",5.878,0.082,5.726,6.024,0.001,0.001,5939.0,1281.0,1.0
"mu[87, 1]",23.656,0.92,21.895,25.409,0.012,0.009,5694.0,1120.0,1.0
"mu[87, 2]",51.561,1.17,49.33,53.725,0.017,0.012,4700.0,1415.0,1.0
"mu[88, 0]",5.906,0.082,5.75,6.053,0.001,0.001,6033.0,1184.0,1.0
"mu[88, 1]",23.435,0.924,21.68,25.184,0.012,0.008,6201.0,1221.0,1.0
"mu[88, 2]",50.754,1.15,48.525,52.835,0.017,0.012,4587.0,1474.0,1.0
"mu[89, 0]",5.746,0.083,5.602,5.909,0.001,0.001,6049.0,1319.0,1.0
"mu[89, 1]",22.193,0.915,20.508,24.022,0.012,0.009,5719.0,1234.0,1.0
"mu[89, 2]",50.206,1.174,48.149,52.502,0.019,0.013,3890.0,1134.0,1.0
"mu[90, 0]",4.969,0.077,4.833,5.114,0.002,0.001,2183.0,1491.0,1.0
"mu[90, 1]",25.327,0.885,23.722,26.946,0.012,0.009,5122.0,1262.0,1.0
"mu[90, 2]",46.069,1.06,43.977,47.961,0.017,0.012,3892.0,1730.0,1.0
"mu[91, 0]",5.034,0.077,4.896,5.179,0.002,0.001,1869.0,1404.0,1.0
"mu[91, 1]",23.793,0.902,22.043,25.335,0.012,0.009,5266.0,1215.0,1.0
"mu[91, 2]",48.554,1.16,46.292,50.677,0.019,0.013,3908.0,1641.0,1.0
"mu[92, 0]",5.062,0.077,4.911,5.195,0.002,0.001,2010.0,1595.0,1.0
"mu[92, 1]",25.41,0.909,23.689,27.05,0.012,0.009,5451.0,1392.0,1.0
"mu[92, 2]",51.993,1.131,49.998,54.252,0.018,0.013,3829.0,1545.0,1.0
"mu[93, 0]",5.106,0.076,4.971,5.25,0.002,0.001,1930.0,1504.0,1.0
"mu[93, 1]",24.862,0.899,23.25,26.586,0.013,0.009,5095.0,1448.0,1.0
"mu[93, 2]",51.045,1.158,48.85,53.151,0.018,0.013,3957.0,1664.0,1.0
"mu[94, 0]",4.925,0.077,4.78,5.064,0.002,0.001,2161.0,1559.0,1.0
"mu[94, 1]",23.886,0.895,22.156,25.442,0.012,0.009,5241.0,1260.0,1.0
"mu[94, 2]",50.552,1.155,48.254,52.661,0.019,0.014,3611.0,1441.0,1.0
"mu[95, 0]",4.296,0.079,4.158,4.45,0.001,0.001,3572.0,1604.0,1.0
"mu[95, 1]",25.674,0.913,24.0,27.378,0.011,0.008,6602.0,1338.0,1.0
"mu[95, 2]",46.217,1.09,44.188,48.154,0.016,0.011,4779.0,1545.0,1.0
"mu[96, 0]",4.357,0.079,4.213,4.504,0.001,0.001,4057.0,1679.0,1.0
"mu[96, 1]",23.386,0.913,21.711,25.028,0.012,0.008,5828.0,1510.0,1.0
"mu[96, 2]",48.509,1.162,46.33,50.677,0.017,0.012,4862.0,1442.0,1.0
"mu[97, 0]",4.384,0.079,4.246,4.541,0.001,0.001,3841.0,1639.0,1.0
"mu[97, 1]",24.725,0.91,23.076,26.464,0.011,0.008,6466.0,1411.0,1.0
"mu[97, 2]",51.787,1.155,49.583,53.788,0.018,0.013,4232.0,1355.0,1.0
"mu[98, 0]",4.412,0.079,4.266,4.561,0.001,0.001,4102.0,1630.0,1.0
"mu[98, 1]",24.505,0.904,22.776,26.128,0.012,0.008,5824.0,1487.0,1.0
"mu[98, 2]",50.98,1.171,48.787,53.157,0.017,0.012,4741.0,1462.0,1.0
"mu[99, 0]",4.252,0.078,4.113,4.407,0.001,0.001,3747.0,1651.0,1.0
"mu[99, 1]",23.263,0.907,21.502,24.897,0.012,0.009,5566.0,1475.0,1.0
"mu[99, 2]",50.432,1.207,48.155,52.571,0.019,0.013,4123.0,1532.0,1.0
"mu[100, 0]",5.488,0.083,5.331,5.649,0.001,0.001,4259.0,1362.0,1.0
"mu[100, 1]",23.537,0.933,21.824,25.373,0.013,0.009,5243.0,1468.0,1.0
"mu[100, 2]",46.975,1.107,44.979,49.157,0.017,0.012,4029.0,1438.0,1.0
"mu[101, 0]",5.553,0.083,5.403,5.718,0.001,0.001,4535.0,1328.0,1.0
"mu[101, 1]",22.003,0.939,20.197,23.757,0.013,0.009,5703.0,1391.0,1.0
"mu[101, 2]",49.46,1.184,47.098,51.523,0.017,0.012,4977.0,1640.0,1.0
"mu[102, 0]",5.581,0.083,5.426,5.745,0.001,0.001,4360.0,1362.0,1.0
"mu[102, 1]",23.62,0.939,21.794,25.361,0.013,0.009,5142.0,1334.0,1.0
"mu[102, 2]",52.899,1.178,50.698,55.155,0.019,0.013,4018.0,1597.0,1.0
"mu[103, 0]",5.625,0.084,5.466,5.786,0.001,0.001,4617.0,1354.0,1.0
"mu[103, 1]",23.071,0.938,21.336,24.854,0.013,0.009,5545.0,1340.0,1.0
"mu[103, 2]",51.951,1.21,49.826,54.447,0.018,0.013,4520.0,1376.0,1.0
"mu[104, 0]",5.445,0.084,5.276,5.598,0.001,0.001,4533.0,1332.0,1.0
"mu[104, 1]",22.096,0.942,20.269,23.813,0.013,0.009,5320.0,1344.0,1.0
"mu[104, 2]",51.458,1.177,49.418,53.757,0.017,0.012,4689.0,1460.0,1.0
"mu[105, 0]",5.589,0.081,5.428,5.727,0.001,0.001,3693.0,1389.0,1.0
"mu[105, 1]",25.906,0.896,24.205,27.509,0.012,0.009,5383.0,1619.0,1.0
"mu[105, 2]",45.845,1.101,43.544,47.726,0.017,0.012,4370.0,1291.0,1.0
"mu[106, 0]",5.682,0.08,5.538,5.835,0.001,0.001,3828.0,1466.0,1.0
"mu[106, 1]",23.542,0.888,21.795,25.065,0.012,0.009,5028.0,1609.0,1.0
"mu[106, 2]",48.347,1.173,46.182,50.584,0.018,0.013,4065.0,1508.0,1.0
"mu[107, 0]",5.714,0.08,5.557,5.852,0.001,0.001,4117.0,1396.0,1.0
"mu[107, 1]",24.95,0.886,23.316,26.606,0.012,0.009,5212.0,1582.0,1.0
"mu[107, 2]",51.485,1.17,49.288,53.763,0.019,0.013,3812.0,1612.0,1.0
"mu[108, 0]",5.741,0.08,5.588,5.882,0.001,0.001,3829.0,1249.0,1.0
"mu[108, 1]",24.694,0.887,22.952,26.26,0.013,0.009,4764.0,1762.0,1.0
"mu[108, 2]",50.711,1.187,48.449,52.815,0.019,0.013,4018.0,1633.0,1.0
"mu[109, 0]",5.575,0.08,5.433,5.731,0.001,0.001,3822.0,1452.0,1.0
"mu[109, 1]",23.295,0.884,21.546,24.874,0.012,0.009,5170.0,1666.0,1.0
"mu[109, 2]",49.826,1.172,47.753,52.083,0.018,0.013,4340.0,1018.0,1.0
"mu[110, 0]",5.705,0.077,5.546,5.839,0.001,0.001,4098.0,1418.0,1.0
"mu[110, 1]",26.129,0.889,24.479,27.78,0.014,0.01,3966.0,1303.0,1.0
"mu[110, 2]",46.846,1.135,44.938,49.098,0.016,0.011,5221.0,1474.0,1.01
"mu[111, 0]",5.769,0.078,5.634,5.926,0.001,0.001,4036.0,1516.0,1.0
"mu[111, 1]",24.595,0.894,22.983,26.311,0.014,0.01,4020.0,1335.0,1.0
"mu[111, 2]",49.331,1.195,47.215,51.661,0.019,0.013,4076.0,1110.0,1.01
"mu[112, 0]",5.797,0.078,5.655,5.942,0.001,0.001,4177.0,1445.0,1.0
"mu[112, 1]",26.212,0.892,24.642,27.983,0.014,0.01,3858.0,1381.0,1.0
"mu[112, 2]",52.77,1.21,50.398,54.863,0.018,0.013,4309.0,1418.0,1.0
"mu[113, 0]",5.841,0.078,5.694,5.988,0.001,0.001,4100.0,1419.0,1.0
"mu[113, 1]",25.663,0.893,24.073,27.374,0.014,0.01,4158.0,1418.0,1.0
"mu[113, 2]",51.822,1.215,49.464,54.048,0.019,0.013,4158.0,1514.0,1.01
"mu[114, 0]",5.661,0.079,5.507,5.806,0.001,0.001,4198.0,1483.0,1.0
"mu[114, 1]",24.688,0.89,23.09,26.378,0.014,0.01,3908.0,1234.0,1.0
"mu[114, 2]",51.329,1.224,49.122,53.587,0.018,0.013,4778.0,1560.0,1.0
"mu[115, 0]",7.653,0.084,7.5,7.814,0.001,0.001,5188.0,1301.0,1.0
"mu[115, 1]",25.113,0.893,23.564,26.886,0.015,0.01,3743.0,1530.0,1.0
"mu[115, 2]",46.33,1.087,44.195,48.219,0.017,0.012,4284.0,1437.0,1.0
"mu[116, 0]",7.774,0.085,7.631,7.946,0.001,0.001,5231.0,1350.0,1.0
"mu[116, 1]",22.927,0.886,21.286,24.571,0.014,0.01,4157.0,1415.0,1.0
"mu[116, 2]",48.404,1.126,46.314,50.519,0.017,0.012,4410.0,1433.0,1.0
"mu[117, 0]",7.793,0.084,7.647,7.962,0.001,0.001,5386.0,1337.0,1.0
"mu[117, 1]",24.388,0.894,22.745,26.019,0.014,0.01,3999.0,1460.0,1.0
"mu[117, 2]",51.298,1.105,49.173,53.223,0.017,0.012,4023.0,1343.0,1.0
"mu[118, 0]",7.813,0.084,7.654,7.968,0.001,0.001,5200.0,1264.0,1.0
"mu[118, 1]",24.1,0.892,22.514,25.804,0.014,0.01,4064.0,1440.0,1.0
"mu[118, 2]",50.545,1.119,48.22,52.37,0.017,0.012,4303.0,1653.0,1.0
"mu[119, 0]",7.638,0.085,7.483,7.797,0.001,0.001,5538.0,1250.0,1.0
"mu[119, 1]",23.002,0.895,21.388,24.633,0.014,0.01,4299.0,1398.0,1.0
"mu[119, 2]",49.997,1.124,47.899,52.068,0.018,0.013,3983.0,1609.0,1.0
"mu[120, 0]",3.494,0.082,3.341,3.645,0.002,0.001,2926.0,1460.0,1.0
"mu[120, 1]",25.35,0.884,23.662,27.022,0.013,0.009,4577.0,1065.0,1.01
"mu[120, 2]",46.661,1.109,44.613,48.759,0.015,0.011,5173.0,1460.0,1.0
"mu[121, 0]",3.615,0.082,3.459,3.762,0.002,0.001,2809.0,1356.0,1.0
"mu[121, 1]",23.164,0.892,21.401,24.801,0.013,0.009,4688.0,1301.0,1.0
"mu[121, 2]",48.736,1.148,46.328,50.655,0.016,0.012,4977.0,1312.0,1.0
"mu[122, 0]",3.635,0.082,3.48,3.783,0.001,0.001,3047.0,1452.0,1.0
"mu[122, 1]",24.625,0.886,22.887,26.235,0.014,0.01,4297.0,967.0,1.01
"mu[122, 2]",51.63,1.131,49.567,53.75,0.016,0.011,4954.0,1474.0,1.0
"mu[123, 0]",3.655,0.082,3.501,3.803,0.001,0.001,3107.0,1416.0,1.0
"mu[123, 1]",24.336,0.89,22.651,26.093,0.014,0.01,4113.0,1090.0,1.01
"mu[123, 2]",50.877,1.152,48.842,53.158,0.016,0.011,5068.0,1336.0,1.0
"mu[124, 0]",3.479,0.082,3.327,3.629,0.002,0.001,2748.0,1474.0,1.0
"mu[124, 1]",23.238,0.899,21.607,25.006,0.013,0.009,4513.0,1134.0,1.01
"mu[124, 2]",50.329,1.147,48.117,52.382,0.017,0.012,4802.0,1512.0,1.0
"mu[125, 0]",4.031,0.079,3.881,4.175,0.001,0.001,3758.0,1314.0,1.0
"mu[125, 1]",25.467,0.884,23.852,27.135,0.012,0.009,5307.0,1506.0,1.0
"mu[125, 2]",44.351,1.071,42.271,46.274,0.017,0.012,3914.0,1550.0,1.0
"mu[126, 0]",4.125,0.08,3.978,4.275,0.001,0.001,3962.0,1366.0,1.0
"mu[126, 1]",23.349,0.89,21.708,24.985,0.012,0.008,5685.0,1367.0,1.0
"mu[126, 2]",46.372,1.165,44.268,48.569,0.018,0.013,4065.0,1520.0,1.0
"mu[127, 0]",4.147,0.08,4.004,4.296,0.001,0.001,4175.0,1402.0,1.0
"mu[127, 1]",24.756,0.89,22.962,26.303,0.012,0.009,5224.0,1608.0,1.0
"mu[127, 2]",49.611,1.154,47.35,51.671,0.018,0.013,4113.0,1702.0,1.0
"mu[128, 0]",4.178,0.079,4.03,4.326,0.001,0.001,3863.0,1343.0,1.0
"mu[128, 1]",24.532,0.891,22.911,26.178,0.012,0.009,5221.0,1510.0,1.0
"mu[128, 2]",48.71,1.144,46.546,50.783,0.017,0.012,4454.0,1582.0,1.0
"mu[129, 0]",3.994,0.08,3.841,4.138,0.001,0.001,4052.0,1254.0,1.0
"mu[129, 1]",23.28,0.899,21.628,25.001,0.012,0.009,5320.0,1546.0,1.0
"mu[129, 2]",48.469,1.153,46.353,50.681,0.017,0.012,4512.0,1190.0,1.0
"mu[130, 0]",6.252,0.082,6.089,6.397,0.001,0.001,3318.0,1550.0,1.0
"mu[130, 1]",24.869,0.888,23.195,26.534,0.013,0.01,4373.0,1171.0,1.0
"mu[130, 2]",45.532,1.132,43.307,47.553,0.017,0.012,4254.0,1670.0,1.0
"mu[131, 0]",6.313,0.083,6.147,6.459,0.002,0.001,2939.0,1482.0,1.0
"mu[131, 1]",22.581,0.897,20.85,24.229,0.014,0.01,4283.0,1224.0,1.0
"mu[131, 2]",47.823,1.159,45.709,49.991,0.016,0.012,5099.0,1609.0,1.0
"mu[132, 0]",6.34,0.083,6.187,6.501,0.001,0.001,3234.0,1588.0,1.0
"mu[132, 1]",23.92,0.894,22.203,25.598,0.014,0.01,4046.0,1138.0,1.0
"mu[132, 2]",51.102,1.216,48.677,53.256,0.018,0.013,4545.0,1613.0,1.0
"mu[133, 0]",6.368,0.083,6.219,6.529,0.001,0.001,3209.0,1499.0,1.0
"mu[133, 1]",23.7,0.889,21.985,25.345,0.014,0.01,4136.0,1270.0,1.0
"mu[133, 2]",50.295,1.159,48.131,52.37,0.016,0.011,5373.0,1859.0,1.0
"mu[134, 0]",6.208,0.083,6.047,6.359,0.002,0.001,3083.0,1392.0,1.0
"mu[134, 1]",22.457,0.889,20.704,24.012,0.014,0.01,4291.0,1168.0,1.0
"mu[134, 2]",49.747,1.209,47.639,52.063,0.018,0.013,4521.0,1659.0,1.0
"mu[135, 0]",5.591,0.079,5.449,5.739,0.001,0.001,4739.0,1453.0,1.0
"mu[135, 1]",24.274,0.871,22.619,25.881,0.013,0.01,4231.0,1376.0,1.0
"mu[135, 2]",46.363,1.104,44.156,48.329,0.014,0.01,6088.0,915.0,1.0
"mu[136, 0]",5.711,0.079,5.578,5.869,0.001,0.001,4801.0,1439.0,1.0
"mu[136, 1]",22.088,0.876,20.606,23.858,0.013,0.009,4397.0,1250.0,1.0
"mu[136, 2]",48.438,1.123,46.407,50.562,0.016,0.011,4887.0,1130.0,1.0
"mu[137, 0]",5.731,0.079,5.593,5.88,0.001,0.001,4456.0,1510.0,1.0
"mu[137, 1]",23.549,0.88,21.941,25.184,0.013,0.009,4929.0,1343.0,1.0
"mu[137, 2]",51.332,1.129,49.349,53.527,0.016,0.011,6010.0,1299.0,1.0
"mu[138, 0]",5.751,0.079,5.595,5.885,0.001,0.001,5107.0,1469.0,1.0
"mu[138, 1]",23.261,0.883,21.641,24.919,0.013,0.009,4793.0,1130.0,1.0
"mu[138, 2]",50.579,1.113,48.376,52.597,0.014,0.01,6439.0,1274.0,1.0
"mu[139, 0]",5.576,0.079,5.43,5.719,0.001,0.001,4656.0,1637.0,1.0
"mu[139, 1]",22.163,0.874,20.519,23.759,0.013,0.009,4772.0,1356.0,1.0
"mu[139, 2]",50.031,1.139,47.916,52.292,0.016,0.011,5396.0,1117.0,1.0
"mu[140, 0]",6.477,0.078,6.321,6.616,0.001,0.001,4906.0,1659.0,1.0
"mu[140, 1]",25.459,0.891,23.883,27.234,0.012,0.008,5655.0,1256.0,1.0
"mu[140, 2]",44.544,1.113,42.569,46.659,0.017,0.012,4472.0,1476.0,1.0
"mu[141, 0]",6.577,0.078,6.414,6.713,0.001,0.001,5154.0,1604.0,1.0
"mu[141, 1]",23.556,0.9,21.899,25.325,0.013,0.009,5109.0,1455.0,1.0
"mu[141, 2]",46.895,1.219,44.665,49.197,0.017,0.012,4829.0,1265.0,1.0
"mu[142, 0]",6.592,0.078,6.433,6.728,0.001,0.001,4938.0,1566.0,1.0
"mu[142, 1]",24.927,0.906,23.307,26.749,0.013,0.009,5107.0,1497.0,1.0
"mu[142, 2]",49.986,1.217,47.643,52.253,0.018,0.013,4336.0,1373.0,1.0
"mu[143, 0]",6.614,0.077,6.464,6.755,0.001,0.001,4755.0,1554.0,1.0
"mu[143, 1]",24.575,0.898,22.818,26.181,0.012,0.009,5550.0,1562.0,1.0
"mu[143, 2]",49.23,1.188,47.17,51.555,0.018,0.013,4428.0,1438.0,1.0
"mu[144, 0]",6.449,0.078,6.295,6.584,0.001,0.001,5024.0,1616.0,1.0
"mu[144, 1]",23.39,0.893,21.792,25.138,0.012,0.009,5406.0,1513.0,1.0
"mu[144, 2]",48.556,1.194,46.281,50.813,0.018,0.013,4374.0,1320.0,1.0
"mu[145, 0]",5.422,0.081,5.273,5.586,0.001,0.001,4402.0,1320.0,1.0
"mu[145, 1]",25.464,0.902,23.85,27.269,0.012,0.009,5359.0,1218.0,1.0
"mu[145, 2]",44.089,1.094,42.031,46.163,0.017,0.012,4119.0,1459.0,1.0
"mu[146, 0]",5.517,0.082,5.364,5.672,0.001,0.001,4721.0,1350.0,1.0
"mu[146, 1]",23.346,0.907,21.699,25.087,0.014,0.01,4462.0,851.0,1.0
"mu[146, 2]",46.11,1.181,43.842,48.35,0.018,0.013,4366.0,1360.0,1.0
"mu[147, 0]",5.539,0.081,5.395,5.697,0.001,0.001,4844.0,1290.0,1.0
"mu[147, 1]",24.753,0.908,22.9,26.343,0.012,0.009,5565.0,1243.0,1.0
"mu[147, 2]",49.349,1.208,47.203,51.622,0.019,0.013,4192.0,1670.0,1.0
"mu[148, 0]",5.57,0.082,5.425,5.733,0.001,0.001,4688.0,1146.0,1.0
"mu[148, 1]",24.529,0.905,22.874,26.288,0.013,0.009,5227.0,1096.0,1.0
"mu[148, 2]",48.448,1.178,46.183,50.629,0.017,0.012,4596.0,1413.0,1.0
"mu[149, 0]",5.385,0.082,5.237,5.539,0.001,0.001,4564.0,1403.0,1.0
"mu[149, 1]",23.277,0.911,21.467,24.89,0.011,0.008,5501.0,1371.0,1.0
"mu[149, 2]",48.207,1.186,45.86,50.343,0.019,0.014,3873.0,1355.0,1.0
"mu[150, 0]",5.954,0.08,5.808,6.097,0.001,0.001,3187.0,1561.0,1.0
